입력주소,X,Y
 경기도 양평군 양서면삼익아파트앞 ,37.54128,127.380259
 경기도 수원시 장안구 연무동 영양산부인과 부근 ,37.294228,127.027619
 경기도 수원시 장안구 파장동 북수원종합시장 부근 ,37.321844,126.99715
 경기도 수원시 장안구 정자동 수원상공회의소입구 부근 ,37.297629,126.992531
 경기도 수원시 장안구 정자동 벽산블루밍아파트정문 부근 ,37.303525,126.994934
 경기도 수원시 장안구 정자동 효자문사거리 부근 ,37.297629,126.992531
 경기도 수원시 장안구 송죽동 만석거삼거리 부근 ,37.306447,127.004811
 경기도 수원시 권선구 권선동 세권사거리 부근 ,37.250015,127.026903
 경기도 수원시 팔달구 팔달로3가 중동사거리 부근 ,37.276197,127.015549
 경기도 수원시 팔달구 지동 남문로약국 부근 ,37.28043,127.025034
 경기도 수원시 팔달구 교동 보람파출부 부근 ,37.271941,127.012966
 경기도 수원시 팔달구 매교동 팽나무고개삼거리 부근 ,37.267949,127.016209
 경기도 수원시 팔달구 매산로2가 전주콩나루콩나물국밥 수원역점 부근 ,37.267117,127.005114
 경기도 수원시 영통구 영통동 영통역 부근 ,37.254867,127.072337
 경기도 성남시 수정구 태평동 세븐일레븐 성남태평점 부근 ,37.446486,127.129874
 경기도 성남시 수정구 신흥동 산성동행정복지센터 부근 ,37.446887,127.146472
 경기도 성남시 수정구 태평동 성남동태평동우체국 부근 ,37.446486,127.129874
 경기도 성남시 수정구 단대동 남한산성입구역 부근 ,37.454939,127.157299
 경기도 성남시 중원구 성남동 모란삼거리 부근 ,37.431369,127.132716
 경기도 성남시 중원구 중앙동 세이브존성남점 부근 ,37.439954,127.152212
 경기도 성남시 분당구 구미동 미금역사거리 부근 ,37.343759,127.119402
 경기도 성남시 분당구 서현동 시범단지한양아파트후문 부근 ,37.38299,127.124014
 경기도 성남시 분당구 야탑동 야탑지구대 부근 ,37.406289,127.144594
 경기도 의정부시 의정부동 탑라인의원 부근 ,37.737474,127.042216
 경기도 의정부시 장암동 발곡프라자 부근 ,37.707315,127.063245
 경기도 의정부시 의정부동 명보치과 부근 ,37.737474,127.042216
 경기도 안양시 만안구 박달동 남서울교회 부근 ,37.396564,126.889541
 경기도 안양시 만안구 안양동 성결대학교사거리 부근 ,37.388556,126.916118
 경기도 안양시 동안구 비산동 뉴코아아울렛평촌점 부근 ,37.413206,126.946635
 경기도 안양시 동안구 관양동 아벤스병원 부근 ,37.405278,126.965192
 경기도 안양시 동안구 관양동 인덕원사거리 부근 ,37.405278,126.965192
 경기도 부천시 심곡동 심곡천사거리 부근 ,37.489202,126.780929
 경기도 부천시 원미동 원미사거리 부근 ,37.494708,126.792397
 경기도 부천시 괴안동 괴안삼거리 부근 ,37.481077,126.812153
 경기도 부천시 상동 솔안공원입구 부근 ,37.500666,126.751881
 경기도 부천시 심곡동 부천프라자약국 부근 ,37.489202,126.780929
 경기도 부천시 소사동 멀뫼사거리 부근 ,37.486005,126.79516
 경기도 광명시 철산동 철산역앞삼거리 부근 ,37.479427,126.868914
 경기도 광명시 광명동 경희솔한의원 부근 ,37.471701,126.852627
 경기도 광명시 광명동 광명사거리 부근 ,37.471701,126.852627
 경기도 평택시 통복동 민중약국 부근 ,36.992776,127.076417
 경기도 평택시 평택동 평택역광장 부근 ,36.98982,127.084586
 경기도 평택시 평택동 박애병원 부근 ,36.98982,127.084586
 경기도 평택시 통복동 통복동행정복지센터 부근 ,36.992776,127.076417
 경기도 동두천시 생연동 어수사거리 부근 ,37.903863,127.063579
 경기도 동두천시 지행동 동두천시평생교육원 부근 ,37.889887,127.064563
 경기도 안산시 상록구 본오동 기린약국 부근 ,37.287604,126.863582
 경기도 안산시 단원구 선부동 군자농협사거리 부근 ,37.34357,126.806017
 경기도 안산시 단원구 와동 선우마트DC아울렛 부근 ,37.339786,126.826841
 경기도 고양시 덕양구 성사동 서울한의원 부근 ,37.650564,126.847988
 경기도 고양시 덕양구 화정동 화정역 부근 ,37.637368,126.834664
 경기도 고양시 덕양구 관산동 벽제우체국 부근 ,37.701628,126.862292
 경기도 고양시 덕양구 고양동 고양동사거리 부근 ,37.707154,126.898736
 경기도 고양시 덕양구 고양동 파리바게트 고양점 부근 ,37.707154,126.898736
 경기도 고양시 일산동구 백석동 백석역사거리 부근 ,37.64166,126.789308
 경기도 고양시 일산서구 주엽동 주엽역 부근 ,37.671279,126.761883
 경기도 고양시 일산서구 일산동 다이소 본일산점 부근 ,37.683312,126.770016
 경기도 고양시 일산서구 대화동 장성2단지사거리 부근 ,37.672133,126.741261
 경기도 남양주시 화도읍 용한의원 부근 ,37.652827,127.315937
 경기도 남양주시 진접읍 진접농협본점 부근 ,37.725543,127.193685
 경기도 남양주시 호평동 평내호평역 부근 ,37.663848,127.249529
 경기도 남양주시 금곡동 금곡우체국 부근 ,37.632041,127.212155
 경기도 남양주시 별내면 남양주청학주공2단지아파트정문 부근 ,37.70988,127.126237
 경기도 오산시 원동 롯데시네마 오산 부근 ,37.136536,127.075933
 경기도 오산시 오산동 NH농협은행 오산시지부 부근 ,37.149596,127.071598
 경기도 시흥시 거모동 도일삼거리 부근 ,37.354928,126.775643
 경기도 군포시 금정동 산본역동부사거리 부근 ,37.360713,126.939919
 경기도 군포시 산본동 능안공원사거리 부근 ,37.361127,126.922845
 경기도 군포시 금정동 제일마트 부근 ,37.360713,126.939919
 경기도 의왕시 내손동 민백사거리 부근 ,37.377418,126.983911
 경기도 하남시 덕풍동 현카페 부근 ,37.545645,127.202224
 경기도 하남시 신장동 명지캐럿아파트 부근 ,37.541054,127.206935
 경기도 하남시 덕풍동 하남더샵센트럴뷰아파트101동 부근 ,37.543584,127.203977
 경기도 하남시 신장동 덕보교오거리 부근 ,37.543631,127.215021
 경기도 용인시 처인구 김량장동 용인사거리 부근 ,37.235317,127.202632
 경기도 용인시 처인구 삼가동 용인시청소년수련관주차장입구 부근 ,37.240189,127.165567
 경기도 용인시 기흥구 마북동 마북삼거리 부근 ,37.306694,127.127506
 경기도 용인시 수지구 풍덕천동 현대그린프라자 부근 ,37.331454,127.12977
 경기도 용인시 수지구 죽전동 내대지마을입구사거리 부근 ,37.329533,127.123428
 경기도 파주시 금촌동 메디인병원 부근 ,37.758783,126.770344
 경기도 파주시 금촌동 금촌사거리 부근 ,37.758783,126.770344
 경기도 파주시 법원읍 법원사거리 부근 ,37.867117,126.892961
 경기도 안성시 인지동 안성시장약국 부근 ,37.004685,127.268552
 경기도 안성시 죽산면 명성한의원 부근 ,37.048678,127.421825
 경기도 김포시 통진읍 마송사거리 부근 ,37.695998,126.599609
 경기도 김포시 풍무동 당곡입구삼거리 부근 ,37.606156,126.722328
 경기도 김포시 북변동 북변공영주차장 부근 ,37.626092,126.711214
 경기도 김포시 북변동 샵실용음악학원 부근 ,37.626092,126.711214
 경기도 화성시 병점동 병점사거리 부근 ,37.206324,127.039371
 경기도 광주시 탄벌동 광주시보건소 부근 ,37.41747,127.236494
 경기도 양주시 광적면 하나로마트 광적농협 본점 부근 ,37.83005,126.952994
 경기도 양주시 덕정동 화천지구대 부근 ,37.845163,127.064719
 경기도 포천시 소흘읍 이가팔리입구사거리 부근 ,37.824046,127.158253
 경기도 연천군 전곡읍 롯데리아 전곡점 부근 ,37.994415,127.037165
 경기도 가평군 청평면 청평터미널 부근 ,37.729766,127.429322
 경기도 수원시 장안구 영화동한국은행경기본부 부근,37.291229,127.013605
 경기도 수원시 장안구 영화동수성중 부근,37.291229,127.013605
 경기도 수원시 장안구 송죽동솔대사거리 부근,37.306447,127.004811
 경기도 수원시 장안구 연무동낙원떡방앗간 부근,37.294228,127.027619
 경기도 수원시 팔달구 인계동못골종합시장 부근,37.268737,127.029886
 경기도 수원시 팔달구 영동지동교 부근,37.286537,127.035827
 경기도 수원시 팔달구 인계동성빈센트병원단일로 부근,37.286537,127.035827
 경기도 수원시 팔달구 매산로1가수원역광장교차로 부근,37.267107,127.001788
 경기도 수원시 팔달구 화서동화서오거리 부근,37.283011,126.994271
 경기도 성남시 수정구 수진동중앙시장사거리 부근,37.436971,127.128628
 경기도 성남시 수정구 양지동성남동부새마을금고본점 부근,37.464158,127.166329
 경기도 성남시 수정구 태평동태평2동행정복지센터 부근,37.446486,127.129874
