,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
221160,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,20,78,일,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도외,보행자,0.1168
221256,남,교차로사지,비,젖음습기,포장 젖음습기,아니오,이륜차,보행자,평지,우 커브곡각,우,시도,교차로내,안전운전의무불이행,안전모,보행자,차도통행중,차대사람 차도통행중,아니오,44,80,목,야,이륜차,이륜차,보행자,보행자,여,우회전중,보행자 마주보고통행,보행자,0.1168
221317,남,교차로사지,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,일반국도,교차로내,안전운전의무불이행,안전모,보행자,횡단중,차대사람 횡단중,아니오,83,61,토,주,자전거,자전거,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,0.0068
221483,남,교차로아님,맑음,건조,포장 건조,아니오,이륜차,보행자,오르막,직선,직선,일반국도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,52,61,목,야,이륜차,이륜차,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.1168
221485,남,교차로아님,맑음,건조,포장 건조,아니오,화물차,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,52,81,금,주,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 보도통행,보행자,0.1168
221780,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,35,64,화,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 길가장자리구역통행,보행자,0.0068
221800,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,오르막,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,59,61,수,야,사업용 개인택시,사업용,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,0.1236
221845,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,81,73,수,야,사업용 개인택시,사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.1168
221948,남,교차로사지,흐림,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,33,71,금,주,비사업용 승용차,비사업용,보행자,보행자,남,우회전중,보행자 도로위놀이중,보행자,0.0068
221949,남,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,24,82,금,야,비사업용 승용차,비사업용,보행자,보행자,남,좌회전중,보행자 횡단보도내,보행자,0.0068
