,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
4,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,40,84,금,주,사업용 렌터카,사업용,보행자,보행자,여,후진중,보행자 등지고통행중차도,보행자,0.1168
17,남,교차로아님,흐림,젖음습기,포장 젖음습기,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,신호위반,안전벨트카시트,보행자,보도통행중,차대사람 보도통행중,아니오,54,64,월,주,사업용 법인택시,사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
20,여,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,44,69,월,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타횡단중,보행자,0.1168
66,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,34,79,토,주,사업용 일반화물,사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.0068
102,남,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,신호위반,안전모,보행자,기타불명,차대사람,아니오,18,69,목,주,이륜차,이륜차,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
105,남,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,64,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 등지고통행중차도,보행자,0.0068
118,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,오르막,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,52,60,월,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.0068
122,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,횡단보도상,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,50,78,화,주,사업용 용달화물,사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.1168
132,여,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,43,72,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
148,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,46,60,수,야,사업용 개인택시,사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,1.0
155,남,교차로삼지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,29,65,금,주,비사업용 승용차,비사업용,보행자,보행자,남,출발중,보행자 기타횡단중,보행자,0.1168
182,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,62,화,야,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 기타횡단중,보행자,0.1168
185,여,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,36,73,수,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
193,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,41,90,일,주,사업용 시내버스,사업용,보행자,보행자,여,출발중,보행자 기타불명,보행자,0.0068
204,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,76,62,토,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
211,남,교차로사지,맑음,건조,포장 건조,아니오,대형,보행자,오르막,직선,직선,시도,교차로내,보행자보호의무위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,65,61,월,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 횡단보도횡단중,보행자,0.0068
238,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,오르막,직선,직선,일반국도,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,47,61,화,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
239,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,기타불명,기타불명,보행자,기타불명,차대사람,아니오,41,81,일,야,사업용 시내버스,사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
248,남,교차로아님,맑음,건조,포장 건조,아니오,건설기계,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,53,66,금,주,사업용 덤프트럭,사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
277,여,기타불명,맑음,건조,포장 건조,아니오,중형,보행자,기타서비스구역,기타구역,기타구역,지방도,기타불명,기타불명,기타불명,보행자,기타불명,차대사람,아니오,52,83,금,주,비사업용 승용차,비사업용,보행자,보행자,남,후진중,보행자 기타횡단중,보행자,0.1168
284,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,기타불명,기타불명,보행자,기타불명,차대사람,아니오,41,62,토,주,사업용 시내버스,사업용,보행자,보행자,여,주정차중,보행자 기타불명,보행자,0.0068
296,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,43,65,화,야,사업용 시외버스,사업용,보행자,보행자,남,출발중,보행자 기타불명,보행자,0.1168
297,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,52,85,화,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
331,남,기타불명,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,지방도,횡단보도부근,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,61,70,수,주,비사업용 화물차,비사업용,보행자,보행자,남,좌우회전중,보행자 횡단보도부근횡단중,보행자,0.1168
337,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,38,75,목,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.0068
351,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,30,63,월,주,사업용 렌터카,사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
355,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,48,62,화,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
363,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,67,70,수,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.1168
377,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,52,80,금,주,사업용 시외버스,사업용,보행자,보행자,여,출발중,보행자 기타불명,보행자,0.1168
387,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,56,63,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
401,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,보도통행중,차대사람 보도통행중,아니오,62,66,금,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 보도통행중,보행자,0.0068
444,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전모,보행자,기타불명,차대사람,아니오,76,66,금,주,자전거,자전거,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
454,남,기타불명,맑음,건조,포장 건조,아니오,중형,보행자,기타서비스구역,기타구역,기타구역,지방도,기타불명,안전운전의무불이행,기타불명,보행자,보도통행중,차대사람 보도통행중,아니오,61,81,토,주,사업용 개인택시,사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
501,여,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로내,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,51,77,목,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.1168
505,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,33,66,금,주,비사업용 화물차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
514,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,46,68,일,주,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 기타횡단중,보행자,0.0068
515,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,지방도,횡단보도부근,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,54,64,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도부근횡단중,보행자,0.0068
517,남,교차로아님,비,젖음습기,포장 젖음습기,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,신호위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,53,65,월,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
540,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,59,76,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.1168
547,여,기타불명,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,37,64,화,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 마주보고통행중차도,보행자,0.0068
553,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,49,73,금,주,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0033
561,여,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,54,85,금,주,비사업용 비사업용기타,비사업용,보행자,보행자,남,좌우회전중,보행자 기타불명,보행자,0.1168
571,여,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,교차로부근,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,43,64,화,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.1168
572,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,내리막,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,53,75,금,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타횡단중,보행자,0.0068
585,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,61,60,목,주,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 기타횡단중,보행자,0.0068
616,남,기타불명,맑음,건조,포장 건조,아니오,소형,보행자,기타서비스구역,기타구역,기타구역,지방도,기타불명,기타불명,기타불명,보행자,횡단중,차대사람 횡단중,아니오,26,64,목,주,사업용 기타불명,사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
623,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,49,68,금,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,1.0
630,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,지방도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,61,70,일,주,비사업용 승용차,비사업용,보행자,보행자,남,후진중,보행자 기타불명,보행자,0.0068
647,남,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,44,83,수,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
679,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,27,73,금,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
688,남,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,시도,횡단보도상,보행자보호의무위반,기타불명,보행자,기타불명,차대사람,아니오,32,85,일,주,비사업용 승용차,비사업용,보행자,보행자,남,후진중,보행자 횡단보도횡단중,보행자,0.0068
692,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,24,70,일,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 길가장자리구역통행중,보행자,0.0068
728,기타불명,교차로사지,맑음,건조,포장 건조,아니오,기타불명,보행자,평지,직선,직선,시도,교차로내,보행자보호의무위반,기타불명,보행자,횡단중,차대사람 횡단중,아니오,0,62,수,주,기타불명,기타불명,보행자,보행자,여,기타불명,보행자 횡단보도횡단중,보행자,0.0068
734,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,기타불명,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,57,78,금,주,비사업용 화물차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.0068
739,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,일반국도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,42,63,금,야,비사업용 비사업용기타,비사업용,보행자,보행자,여,U턴중,보행자 기타불명,보행자,0.1236
746,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,62,66,일,주,사업용 시내버스,사업용,보행자,보행자,여,주정차중,보행자 기타불명,보행자,0.1168
748,여,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,29,78,일,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
758,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,55,65,화,주,사업용 시내버스,사업용,보행자,보행자,여,주정차중,보행자 기타불명,보행자,0.0068
801,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,41,77,목,주,사업용 일반화물,사업용,보행자,보행자,여,직진중,보행자 등지고통행중차도,보행자,0.1168
826,기타불명,기타불명,맑음,건조,포장 건조,아니오,자전거,보행자,기타서비스구역,기타구역,기타구역,지방도,기타불명,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,0,81,화,주,자전거,자전거,보행자,보행자,여,기타불명,보행자 기타불명,보행자,0.0033
836,여,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,35,65,수,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
844,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,49,75,목,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
845,여,교차로아님,흐림,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,지하차도도로내,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,50,69,수,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 마주보고통행중차도,보행자,0.0068
878,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,28,71,토,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.1168
913,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,24,61,목,야,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 마주보고통행중차도,보행자,0.1168
916,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,61,73,금,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
919,여,교차로사지,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,47,75,금,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 횡단보도부근횡단중,보행자,0.0068
951,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,65,63,목,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
956,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,오르막,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,31,67,금,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
997,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,57,66,수,주,사업용 시내버스,사업용,보행자,보행자,남,출발중,보행자 기타불명,보행자,0.0068
1000,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,39,72,토,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.2336
1014,기타불명,교차로사지,흐림,건조,포장 건조,아니오,기타불명,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,0,71,화,야,기타불명,기타불명,보행자,보행자,남,기타불명,보행자 횡단보도횡단중,보행자,0.0033
1018,남,교차로삼지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,46,72,수,야,비사업용 화물차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
1046,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,44,69,화,주,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.1168
1057,남,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,기타불명,보행자,횡단중,차대사람 횡단중,아니오,57,78,목,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도부근횡단중,보행자,0.1168
1064,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,일반국도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,33,71,목,야,비사업용 화물차,비사업용,보행자,보행자,여,직진중,보행자 기타횡단중,보행자,0.0068
1073,남,교차로아님,흐림,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,횡단보도상,중앙선침범,안전모,보행자,횡단중,차대사람 횡단중,아니오,27,69,토,주,이륜차,이륜차,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
1090,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전모,보행자,기타불명,차대사람,아니오,15,67,목,주,자전거,자전거,보행자,보행자,여,직진중,보행자 등지고통행중차도,보행자,0.1168
1092,남,교차로사지,맑음,건조,포장 건조,아니오,대형,보행자,내리막,직선,직선,시도,교차로내,보행자보호의무위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,60,63,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 횡단보도횡단중,보행자,0.0068
1145,남,교차로사지,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,안전모,보행자,기타불명,차대사람,아니오,59,66,금,주,이륜차,이륜차,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
1151,남,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,47,73,토,야,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 횡단보도부근횡단중,보행자,0.0068
1158,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,좌 커브곡각,좌,시도,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,45,72,월,주,사업용 시내버스,사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
1175,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,54,76,목,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타횡단중,보행자,0.1168
1181,여,교차로아님,맑음,건조,포장 건조,아니오,경형,보행자,평지,직선,직선,기타불명,기타단일로,신호위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,54,72,목,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0033
1182,남,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,교차로내,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,56,63,목,야,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.0068
1194,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,57,79,토,야,사업용 개인택시,사업용,보행자,보행자,남,좌우회전중,보행자 기타불명,보행자,0.0068
1204,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,39,62,화,주,비사업용 승용차,비사업용,보행자,보행자,남,좌우회전중,보행자 기타불명,보행자,0.0068
1206,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,61,80,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 길가장자리구역통행중,보행자,0.0068
1217,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,47,68,목,야,비사업용 승용차,비사업용,보행자,보행자,여,후진중,보행자 보도통행중,보행자,0.0068
1272,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,63,63,월,주,사업용 기타불명,사업용,보행자,보행자,여,직진중,보행자 마주보고통행중차도,보행자,0.0068
1275,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,안전모,보행자,기타불명,차대사람,아니오,15,61,화,주,자전거,자전거,보행자,보행자,여,직진중,보행자 등지고통행중차도,보행자,0.1168
1310,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,기타단일로,보행자보호의무위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,40,79,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
1316,여,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,56,79,화,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
